bucket_start_local,stage,minute_count,minute_timeout_count,minute_avg_ms,overall_count,overall_timeout_count,overall_avg_ms,minute_max1_ms,minute_max1_session,minute_max1_sent_at,minute_max1_recv_at,minute_max2_ms,minute_max2_session,minute_max2_sent_at,minute_max2_recv_at,minute_max3_ms,minute_max3_session,minute_max3_sent_at,minute_max3_recv_at,overall_max1_ms,overall_max1_session,overall_max1_sent_at,overall_max1_recv_at,overall_max2_ms,overall_max2_session,overall_max2_sent_at,overall_max2_recv_at,overall_max3_ms,overall_max3_session,overall_max3_sent_at,overall_max3_recv_at
2026-04-08 12:05:00.000,login-response,250,0,19.774,250,0,19.774,44.652,97,2026-04-08 12:05:26.799,2026-04-08 12:05:26.843,35.518,98,2026-04-08 12:05:26.860,2026-04-08 12:05:26.896,32.242,241,2026-04-08 12:05:36.029,2026-04-08 12:05:36.061,44.652,97,2026-04-08 12:05:26.799,2026-04-08 12:05:26.843,35.518,98,2026-04-08 12:05:26.860,2026-04-08 12:05:26.896,32.242,241,2026-04-08 12:05:36.029,2026-04-08 12:05:36.061
2026-04-08 12:05:00.000,room-list,250,0,16.312,250,0,16.312,61.806,96,2026-04-08 12:05:26.736,2026-04-08 12:05:26.798,31.817,237,2026-04-08 12:05:35.792,2026-04-08 12:05:35.824,31.774,236,2026-04-08 12:05:35.729,2026-04-08 12:05:35.761,61.806,96,2026-04-08 12:05:26.736,2026-04-08 12:05:26.798,31.817,237,2026-04-08 12:05:35.792,2026-04-08 12:05:35.824,31.774,236,2026-04-08 12:05:35.729,2026-04-08 12:05:35.761
2026-04-08 12:05:00.000,room-change,250,0,17.490,250,0,17.490,92.759,95,2026-04-08 12:05:26.625,2026-04-08 12:05:26.718,45.579,96,2026-04-08 12:05:26.798,2026-04-08 12:05:26.843,36.259,97,2026-04-08 12:05:26.859,2026-04-08 12:05:26.896,92.759,95,2026-04-08 12:05:26.625,2026-04-08 12:05:26.718,45.579,96,2026-04-08 12:05:26.798,2026-04-08 12:05:26.843,36.259,97,2026-04-08 12:05:26.859,2026-04-08 12:05:26.896
2026-04-08 12:05:00.000,chatting-response,147825,0,18.238,147825,0,18.238,89.593,5,2026-04-08 12:05:26.628,2026-04-08 12:05:26.718,86.026,6,2026-04-08 12:05:26.632,2026-04-08 12:05:26.718,81.041,13,2026-04-08 12:05:26.637,2026-04-08 12:05:26.718,89.593,5,2026-04-08 12:05:26.628,2026-04-08 12:05:26.718,86.026,6,2026-04-08 12:05:26.632,2026-04-08 12:05:26.718,81.041,13,2026-04-08 12:05:26.637,2026-04-08 12:05:26.718
2026-04-08 12:06:00.000,login-response,0,0,0.000,250,0,19.774,,,,,,,,,,,,,44.652,97,2026-04-08 12:05:26.799,2026-04-08 12:05:26.843,35.518,98,2026-04-08 12:05:26.860,2026-04-08 12:05:26.896,32.242,241,2026-04-08 12:05:36.029,2026-04-08 12:05:36.061
2026-04-08 12:06:00.000,room-list,0,0,0.000,250,0,16.312,,,,,,,,,,,,,61.806,96,2026-04-08 12:05:26.736,2026-04-08 12:05:26.798,31.817,237,2026-04-08 12:05:35.792,2026-04-08 12:05:35.824,31.774,236,2026-04-08 12:05:35.729,2026-04-08 12:05:35.761
2026-04-08 12:06:00.000,room-change,0,0,0.000,250,0,17.490,,,,,,,,,,,,,92.759,95,2026-04-08 12:05:26.625,2026-04-08 12:05:26.718,45.579,96,2026-04-08 12:05:26.798,2026-04-08 12:05:26.843,36.259,97,2026-04-08 12:05:26.859,2026-04-08 12:05:26.896
2026-04-08 12:06:00.000,chatting-response,234128,0,21.449,381953,0,20.206,220.899,0,2026-04-08 12:06:32.599,2026-04-08 12:06:32.820,220.833,1,2026-04-08 12:06:32.600,2026-04-08 12:06:32.820,220.733,2,2026-04-08 12:06:32.600,2026-04-08 12:06:32.820,220.899,0,2026-04-08 12:06:32.599,2026-04-08 12:06:32.820,220.833,1,2026-04-08 12:06:32.600,2026-04-08 12:06:32.820,220.733,2,2026-04-08 12:06:32.600,2026-04-08 12:06:32.820
2026-04-08 12:07:00.000,login-response,0,0,0.000,250,0,19.774,,,,,,,,,,,,,44.652,97,2026-04-08 12:05:26.799,2026-04-08 12:05:26.843,35.518,98,2026-04-08 12:05:26.860,2026-04-08 12:05:26.896,32.242,241,2026-04-08 12:05:36.029,2026-04-08 12:05:36.061
2026-04-08 12:07:00.000,room-list,0,0,0.000,250,0,16.312,,,,,,,,,,,,,61.806,96,2026-04-08 12:05:26.736,2026-04-08 12:05:26.798,31.817,237,2026-04-08 12:05:35.792,2026-04-08 12:05:35.824,31.774,236,2026-04-08 12:05:35.729,2026-04-08 12:05:35.761
