bucket_start_local,stage,minute_count,minute_timeout_count,minute_avg_ms,overall_count,overall_timeout_count,overall_avg_ms,minute_max1_ms,minute_max1_session,minute_max1_sent_at,minute_max1_recv_at,minute_max2_ms,minute_max2_session,minute_max2_sent_at,minute_max2_recv_at,minute_max3_ms,minute_max3_session,minute_max3_sent_at,minute_max3_recv_at,overall_max1_ms,overall_max1_session,overall_max1_sent_at,overall_max1_recv_at,overall_max2_ms,overall_max2_session,overall_max2_sent_at,overall_max2_recv_at,overall_max3_ms,overall_max3_session,overall_max3_sent_at,overall_max3_recv_at
2026-04-08 13:05:00.000,login-response,250,0,21.619,250,0,21.619,31.781,193,2026-04-08 13:05:38.150,2026-04-08 13:05:38.182,31.672,212,2026-04-08 13:05:39.414,2026-04-08 13:05:39.446,31.563,143,2026-04-08 13:05:34.863,2026-04-08 13:05:34.894,31.781,193,2026-04-08 13:05:38.150,2026-04-08 13:05:38.182,31.672,212,2026-04-08 13:05:39.414,2026-04-08 13:05:39.446,31.563,143,2026-04-08 13:05:34.863,2026-04-08 13:05:34.894
2026-04-08 13:05:00.000,room-list,250,0,16.905,250,0,16.905,32.265,228,2026-04-08 13:05:40.536,2026-04-08 13:05:40.569,31.816,204,2026-04-08 13:05:38.908,2026-04-08 13:05:38.940,31.804,221,2026-04-08 13:05:40.078,2026-04-08 13:05:40.110,32.265,228,2026-04-08 13:05:40.536,2026-04-08 13:05:40.569,31.816,204,2026-04-08 13:05:38.908,2026-04-08 13:05:38.940,31.804,221,2026-04-08 13:05:40.078,2026-04-08 13:05:40.110
2026-04-08 13:05:00.000,room-change,250,0,18.738,250,0,18.738,49.469,229,2026-04-08 13:05:40.616,2026-04-08 13:05:40.665,31.878,151,2026-04-08 13:05:35.416,2026-04-08 13:05:35.448,31.854,175,2026-04-08 13:05:37.043,2026-04-08 13:05:37.075,49.469,229,2026-04-08 13:05:40.616,2026-04-08 13:05:40.665,31.878,151,2026-04-08 13:05:35.416,2026-04-08 13:05:35.448,31.854,175,2026-04-08 13:05:37.043,2026-04-08 13:05:37.075
2026-04-08 13:05:00.000,chatting-response,118254,0,19.814,118254,0,19.814,94.279,74,2026-04-08 13:05:58.199,2026-04-08 13:05:58.293,93.248,178,2026-04-08 13:05:50.800,2026-04-08 13:05:50.894,92.972,204,2026-04-08 13:05:58.200,2026-04-08 13:05:58.293,94.279,74,2026-04-08 13:05:58.199,2026-04-08 13:05:58.293,93.248,178,2026-04-08 13:05:50.800,2026-04-08 13:05:50.894,92.972,204,2026-04-08 13:05:58.200,2026-04-08 13:05:58.293
2026-04-08 13:06:00.000,login-response,0,0,0.000,250,0,21.619,,,,,,,,,,,,,31.781,193,2026-04-08 13:05:38.150,2026-04-08 13:05:38.182,31.672,212,2026-04-08 13:05:39.414,2026-04-08 13:05:39.446,31.563,143,2026-04-08 13:05:34.863,2026-04-08 13:05:34.894
2026-04-08 13:06:00.000,room-list,0,0,0.000,250,0,16.905,,,,,,,,,,,,,32.265,228,2026-04-08 13:05:40.536,2026-04-08 13:05:40.569,31.816,204,2026-04-08 13:05:38.908,2026-04-08 13:05:38.940,31.804,221,2026-04-08 13:05:40.078,2026-04-08 13:05:40.110
2026-04-08 13:06:00.000,room-change,0,0,0.000,250,0,18.738,,,,,,,,,,,,,49.469,229,2026-04-08 13:05:40.616,2026-04-08 13:05:40.665,31.878,151,2026-04-08 13:05:35.416,2026-04-08 13:05:35.448,31.854,175,2026-04-08 13:05:37.043,2026-04-08 13:05:37.075
2026-04-08 13:06:00.000,chatting-response,230806,0,23.234,349060,0,22.075,107.094,152,2026-04-08 13:06:46.733,2026-04-08 13:06:46.840,107.025,161,2026-04-08 13:06:46.733,2026-04-08 13:06:46.840,103.655,214,2026-04-08 13:06:16.865,2026-04-08 13:06:16.968,107.094,152,2026-04-08 13:06:46.733,2026-04-08 13:06:46.840,107.025,161,2026-04-08 13:06:46.733,2026-04-08 13:06:46.840,103.655,214,2026-04-08 13:06:16.865,2026-04-08 13:06:16.968
2026-04-08 13:07:00.000,login-response,0,0,0.000,250,0,21.619,,,,,,,,,,,,,31.781,193,2026-04-08 13:05:38.150,2026-04-08 13:05:38.182,31.672,212,2026-04-08 13:05:39.414,2026-04-08 13:05:39.446,31.563,143,2026-04-08 13:05:34.863,2026-04-08 13:05:34.894
2026-04-08 13:07:00.000,room-list,0,0,0.000,250,0,16.905,,,,,,,,,,,,,32.265,228,2026-04-08 13:05:40.536,2026-04-08 13:05:40.569,31.816,204,2026-04-08 13:05:38.908,2026-04-08 13:05:38.940,31.804,221,2026-04-08 13:05:40.078,2026-04-08 13:05:40.110
