bucket_start_local,stage,minute_count,minute_timeout_count,minute_avg_ms,overall_count,overall_timeout_count,overall_avg_ms,minute_max1_ms,minute_max1_session,minute_max1_sent_at,minute_max1_recv_at,minute_max2_ms,minute_max2_session,minute_max2_sent_at,minute_max2_recv_at,minute_max3_ms,minute_max3_session,minute_max3_sent_at,minute_max3_recv_at,overall_max1_ms,overall_max1_session,overall_max1_sent_at,overall_max1_recv_at,overall_max2_ms,overall_max2_session,overall_max2_sent_at,overall_max2_recv_at,overall_max3_ms,overall_max3_session,overall_max3_sent_at,overall_max3_recv_at
2026-04-08 14:05:00.000,login-response,250,0,20.494,250,0,20.494,31.747,181,2026-04-08 14:05:42.295,2026-04-08 14:05:42.326,31.630,221,2026-04-08 14:05:44.839,2026-04-08 14:05:44.871,31.578,150,2026-04-08 14:05:40.303,2026-04-08 14:05:40.334,31.747,181,2026-04-08 14:05:42.295,2026-04-08 14:05:42.326,31.630,221,2026-04-08 14:05:44.839,2026-04-08 14:05:44.871,31.578,150,2026-04-08 14:05:40.303,2026-04-08 14:05:40.334
2026-04-08 14:05:00.000,room-list,250,0,16.071,250,0,16.071,31.822,247,2026-04-08 14:05:46.641,2026-04-08 14:05:46.672,31.720,229,2026-04-08 14:05:45.376,2026-04-08 14:05:45.408,31.631,227,2026-04-08 14:05:45.250,2026-04-08 14:05:45.281,31.822,247,2026-04-08 14:05:46.641,2026-04-08 14:05:46.672,31.720,229,2026-04-08 14:05:45.376,2026-04-08 14:05:45.408,31.631,227,2026-04-08 14:05:45.250,2026-04-08 14:05:45.281
2026-04-08 14:05:00.000,room-change,250,0,17.041,250,0,17.041,32.080,237,2026-04-08 14:05:45.961,2026-04-08 14:05:45.993,32.079,215,2026-04-08 14:05:44.491,2026-04-08 14:05:44.523,31.861,156,2026-04-08 14:05:40.729,2026-04-08 14:05:40.761,32.080,237,2026-04-08 14:05:45.961,2026-04-08 14:05:45.993,32.079,215,2026-04-08 14:05:44.491,2026-04-08 14:05:44.523,31.861,156,2026-04-08 14:05:40.729,2026-04-08 14:05:40.761
2026-04-08 14:05:00.000,chatting-response,105182,0,17.248,105182,0,17.248,93.843,1,2026-04-08 14:05:46.736,2026-04-08 14:05:46.830,93.810,3,2026-04-08 14:05:46.737,2026-04-08 14:05:46.830,92.651,20,2026-04-08 14:05:46.738,2026-04-08 14:05:46.830,93.843,1,2026-04-08 14:05:46.736,2026-04-08 14:05:46.830,93.810,3,2026-04-08 14:05:46.737,2026-04-08 14:05:46.830,92.651,20,2026-04-08 14:05:46.738,2026-04-08 14:05:46.830
2026-04-08 14:06:00.000,login-response,0,0,0.000,250,0,20.494,,,,,,,,,,,,,31.747,181,2026-04-08 14:05:42.295,2026-04-08 14:05:42.326,31.630,221,2026-04-08 14:05:44.839,2026-04-08 14:05:44.871,31.578,150,2026-04-08 14:05:40.303,2026-04-08 14:05:40.334
2026-04-08 14:06:00.000,room-list,0,0,0.000,250,0,16.071,,,,,,,,,,,,,31.822,247,2026-04-08 14:05:46.641,2026-04-08 14:05:46.672,31.720,229,2026-04-08 14:05:45.376,2026-04-08 14:05:45.408,31.631,227,2026-04-08 14:05:45.250,2026-04-08 14:05:45.281
2026-04-08 14:06:00.000,room-change,0,0,0.000,250,0,17.041,,,,,,,,,,,,,32.080,237,2026-04-08 14:05:45.961,2026-04-08 14:05:45.993,32.079,215,2026-04-08 14:05:44.491,2026-04-08 14:05:44.523,31.861,156,2026-04-08 14:05:40.729,2026-04-08 14:05:40.761
2026-04-08 14:06:00.000,chatting-response,235524,0,22.587,340706,0,20.939,92.920,53,2026-04-08 14:06:30.265,2026-04-08 14:06:30.358,92.723,63,2026-04-08 14:06:26.360,2026-04-08 14:06:26.453,92.520,79,2026-04-08 14:06:30.265,2026-04-08 14:06:30.358,93.843,1,2026-04-08 14:05:46.736,2026-04-08 14:05:46.830,93.810,3,2026-04-08 14:05:46.737,2026-04-08 14:05:46.830,92.920,53,2026-04-08 14:06:30.265,2026-04-08 14:06:30.358
2026-04-08 14:07:00.000,login-response,0,0,0.000,250,0,20.494,,,,,,,,,,,,,31.747,181,2026-04-08 14:05:42.295,2026-04-08 14:05:42.326,31.630,221,2026-04-08 14:05:44.839,2026-04-08 14:05:44.871,31.578,150,2026-04-08 14:05:40.303,2026-04-08 14:05:40.334
2026-04-08 14:07:00.000,room-list,0,0,0.000,250,0,16.071,,,,,,,,,,,,,31.822,247,2026-04-08 14:05:46.641,2026-04-08 14:05:46.672,31.720,229,2026-04-08 14:05:45.376,2026-04-08 14:05:45.408,31.631,227,2026-04-08 14:05:45.250,2026-04-08 14:05:45.281
