bucket_start_local,stage,minute_count,minute_timeout_count,minute_avg_ms,overall_count,overall_timeout_count,overall_avg_ms,minute_max1_ms,minute_max1_session,minute_max1_sent_at,minute_max1_recv_at,minute_max2_ms,minute_max2_session,minute_max2_sent_at,minute_max2_recv_at,minute_max3_ms,minute_max3_session,minute_max3_sent_at,minute_max3_recv_at,overall_max1_ms,overall_max1_session,overall_max1_sent_at,overall_max1_recv_at,overall_max2_ms,overall_max2_session,overall_max2_sent_at,overall_max2_recv_at,overall_max3_ms,overall_max3_session,overall_max3_sent_at,overall_max3_recv_at
2026-04-08 15:05:00.000,login-response,250,0,20.848,250,0,20.848,46.884,178,2026-04-08 15:05:47.092,2026-04-08 15:05:47.138,31.536,220,2026-04-08 15:05:49.904,2026-04-08 15:05:49.936,31.512,193,2026-04-08 15:05:48.071,2026-04-08 15:05:48.103,46.884,178,2026-04-08 15:05:47.092,2026-04-08 15:05:47.138,31.536,220,2026-04-08 15:05:49.904,2026-04-08 15:05:49.936,31.512,193,2026-04-08 15:05:48.071,2026-04-08 15:05:48.103
2026-04-08 15:05:00.000,room-list,250,0,15.995,250,0,15.995,31.714,178,2026-04-08 15:05:47.138,2026-04-08 15:05:47.170,31.710,233,2026-04-08 15:05:50.916,2026-04-08 15:05:50.947,31.638,242,2026-04-08 15:05:51.563,2026-04-08 15:05:51.595,31.714,178,2026-04-08 15:05:47.138,2026-04-08 15:05:47.170,31.710,233,2026-04-08 15:05:50.916,2026-04-08 15:05:50.947,31.638,242,2026-04-08 15:05:51.563,2026-04-08 15:05:51.595
2026-04-08 15:05:00.000,room-change,250,0,17.869,250,0,17.869,31.854,233,2026-04-08 15:05:50.947,2026-04-08 15:05:50.979,31.785,245,2026-04-08 15:05:51.769,2026-04-08 15:05:51.801,31.779,235,2026-04-08 15:05:51.058,2026-04-08 15:05:51.089,31.854,233,2026-04-08 15:05:50.947,2026-04-08 15:05:50.979,31.785,245,2026-04-08 15:05:51.769,2026-04-08 15:05:51.801,31.779,235,2026-04-08 15:05:51.058,2026-04-08 15:05:51.089
2026-04-08 15:05:00.000,chatting-response,90680,0,16.063,90680,0,16.063,50.772,4,2026-04-08 15:05:36.299,2026-04-08 15:05:36.350,46.803,5,2026-04-08 15:05:47.092,2026-04-08 15:05:47.138,46.614,6,2026-04-08 15:05:47.092,2026-04-08 15:05:47.138,50.772,4,2026-04-08 15:05:36.299,2026-04-08 15:05:36.350,46.803,5,2026-04-08 15:05:47.092,2026-04-08 15:05:47.138,46.614,6,2026-04-08 15:05:47.092,2026-04-08 15:05:47.138
2026-04-08 15:06:00.000,login-response,0,0,0.000,250,0,20.848,,,,,,,,,,,,,46.884,178,2026-04-08 15:05:47.092,2026-04-08 15:05:47.138,31.536,220,2026-04-08 15:05:49.904,2026-04-08 15:05:49.936,31.512,193,2026-04-08 15:05:48.071,2026-04-08 15:05:48.103
2026-04-08 15:06:00.000,room-list,0,0,0.000,250,0,15.995,,,,,,,,,,,,,31.714,178,2026-04-08 15:05:47.138,2026-04-08 15:05:47.170,31.710,233,2026-04-08 15:05:50.916,2026-04-08 15:05:50.947,31.638,242,2026-04-08 15:05:51.563,2026-04-08 15:05:51.595
2026-04-08 15:06:00.000,room-change,0,0,0.000,250,0,17.869,,,,,,,,,,,,,31.854,233,2026-04-08 15:05:50.947,2026-04-08 15:05:50.979,31.785,245,2026-04-08 15:05:51.769,2026-04-08 15:05:51.801,31.779,235,2026-04-08 15:05:51.058,2026-04-08 15:05:51.089
2026-04-08 15:06:00.000,chatting-response,280701,0,19.471,371381,0,18.639,38.721,95,2026-04-08 15:06:32.389,2026-04-08 15:06:32.428,38.437,99,2026-04-08 15:06:32.389,2026-04-08 15:06:32.428,38.080,103,2026-04-08 15:06:32.390,2026-04-08 15:06:32.428,50.772,4,2026-04-08 15:05:36.299,2026-04-08 15:05:36.350,46.803,5,2026-04-08 15:05:47.092,2026-04-08 15:05:47.138,46.614,6,2026-04-08 15:05:47.092,2026-04-08 15:05:47.138
2026-04-08 15:07:00.000,login-response,0,0,0.000,250,0,20.848,,,,,,,,,,,,,46.884,178,2026-04-08 15:05:47.092,2026-04-08 15:05:47.138,31.536,220,2026-04-08 15:05:49.904,2026-04-08 15:05:49.936,31.512,193,2026-04-08 15:05:48.071,2026-04-08 15:05:48.103
2026-04-08 15:07:00.000,room-list,0,0,0.000,250,0,15.995,,,,,,,,,,,,,31.714,178,2026-04-08 15:05:47.138,2026-04-08 15:05:47.170,31.710,233,2026-04-08 15:05:50.916,2026-04-08 15:05:50.947,31.638,242,2026-04-08 15:05:51.563,2026-04-08 15:05:51.595
