bucket_start_local,stage,minute_count,minute_timeout_count,minute_avg_ms,overall_count,overall_timeout_count,overall_avg_ms,minute_max1_ms,minute_max1_session,minute_max1_sent_at,minute_max1_recv_at,minute_max2_ms,minute_max2_session,minute_max2_sent_at,minute_max2_recv_at,minute_max3_ms,minute_max3_session,minute_max3_sent_at,minute_max3_recv_at,overall_max1_ms,overall_max1_session,overall_max1_sent_at,overall_max1_recv_at,overall_max2_ms,overall_max2_session,overall_max2_sent_at,overall_max2_recv_at,overall_max3_ms,overall_max3_session,overall_max3_sent_at,overall_max3_recv_at
2026-04-08 19:38:00.000,login-response,250,0,15.710,250,0,15.710,123.116,15,2026-04-08 19:38:21.214,2026-04-08 19:38:21.338,115.203,18,2026-04-08 19:38:21.684,2026-04-08 19:38:21.799,76.766,102,2026-04-08 19:38:29.849,2026-04-08 19:38:29.926,123.116,15,2026-04-08 19:38:21.214,2026-04-08 19:38:21.338,115.203,18,2026-04-08 19:38:21.684,2026-04-08 19:38:21.799,76.766,102,2026-04-08 19:38:29.849,2026-04-08 19:38:29.926
2026-04-08 19:38:00.000,room-list,250,0,22.535,250,0,22.535,160.276,74,2026-04-08 19:38:27.047,2026-04-08 19:38:27.207,154.246,80,2026-04-08 19:38:27.647,2026-04-08 19:38:27.801,153.760,58,2026-04-08 19:38:25.448,2026-04-08 19:38:25.602,160.276,74,2026-04-08 19:38:27.047,2026-04-08 19:38:27.207,154.246,80,2026-04-08 19:38:27.647,2026-04-08 19:38:27.801,153.760,58,2026-04-08 19:38:25.448,2026-04-08 19:38:25.602
2026-04-08 19:38:00.000,room-enter,250,0,17.234,250,0,17.234,363.690,107,2026-04-08 19:38:30.373,2026-04-08 19:38:30.736,279.753,93,2026-04-08 19:38:28.968,2026-04-08 19:38:29.247,194.600,108,2026-04-08 19:38:30.478,2026-04-08 19:38:30.673,363.690,107,2026-04-08 19:38:30.373,2026-04-08 19:38:30.736,279.753,93,2026-04-08 19:38:28.968,2026-04-08 19:38:29.247,194.600,108,2026-04-08 19:38:30.478,2026-04-08 19:38:30.673
2026-04-08 19:38:00.000,echo-response,2188781,0,3.158,2188781,0,3.158,569.796,57,2026-04-08 19:38:30.178,2026-04-08 19:38:30.748,569.752,30,2026-04-08 19:38:30.178,2026-04-08 19:38:30.748,569.747,93,2026-04-08 19:38:30.178,2026-04-08 19:38:30.748,569.796,57,2026-04-08 19:38:30.178,2026-04-08 19:38:30.748,569.752,30,2026-04-08 19:38:30.178,2026-04-08 19:38:30.748,569.747,93,2026-04-08 19:38:30.178,2026-04-08 19:38:30.748
2026-04-08 19:38:00.000,room-change-list,0,0,0.000,0,0,0.000,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-08 19:38:00.000,room-change,0,0,0.000,0,0,0.000,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-08 19:39:00.000,login-response,0,0,0.000,250,0,15.710,,,,,,,,,,,,,123.116,15,2026-04-08 19:38:21.214,2026-04-08 19:38:21.338,115.203,18,2026-04-08 19:38:21.684,2026-04-08 19:38:21.799,76.766,102,2026-04-08 19:38:29.849,2026-04-08 19:38:29.926
2026-04-08 19:39:00.000,room-list,0,0,0.000,250,0,22.535,,,,,,,,,,,,,160.276,74,2026-04-08 19:38:27.047,2026-04-08 19:38:27.207,154.246,80,2026-04-08 19:38:27.647,2026-04-08 19:38:27.801,153.760,58,2026-04-08 19:38:25.448,2026-04-08 19:38:25.602
2026-04-08 19:39:00.000,room-enter,0,0,0.000,250,0,17.234,,,,,,,,,,,,,363.690,107,2026-04-08 19:38:30.373,2026-04-08 19:38:30.736,279.753,93,2026-04-08 19:38:28.968,2026-04-08 19:38:29.247,194.600,108,2026-04-08 19:38:30.478,2026-04-08 19:38:30.673
2026-04-08 19:39:00.000,echo-response,3453419,0,4.329,5642200,0,3.874,145.791,199,2026-04-08 19:39:30.683,2026-04-08 19:39:30.829,145.637,47,2026-04-08 19:39:30.683,2026-04-08 19:39:30.829,145.386,51,2026-04-08 19:39:30.683,2026-04-08 19:39:30.829,569.796,57,2026-04-08 19:38:30.178,2026-04-08 19:38:30.748,569.752,30,2026-04-08 19:38:30.178,2026-04-08 19:38:30.748,569.747,93,2026-04-08 19:38:30.178,2026-04-08 19:38:30.748
