bucket_start_local,stage,minute_count,minute_timeout_count,minute_avg_ms,overall_count,overall_timeout_count,overall_avg_ms,minute_max1_ms,minute_max1_session,minute_max1_sent_at,minute_max1_recv_at,minute_max2_ms,minute_max2_session,minute_max2_sent_at,minute_max2_recv_at,minute_max3_ms,minute_max3_session,minute_max3_sent_at,minute_max3_recv_at,overall_max1_ms,overall_max1_session,overall_max1_sent_at,overall_max1_recv_at,overall_max2_ms,overall_max2_session,overall_max2_sent_at,overall_max2_recv_at,overall_max3_ms,overall_max3_session,overall_max3_sent_at,overall_max3_recv_at
2026-04-07 19:22:00.000,login-response,250,0,13.375,250,0,13.375,55.736,147,2026-04-07 19:22:49.349,2026-04-07 19:22:49.404,44.336,129,2026-04-07 19:22:47.547,2026-04-07 19:22:47.591,43.789,221,2026-04-07 19:22:56.749,2026-04-07 19:22:56.793,55.736,147,2026-04-07 19:22:49.349,2026-04-07 19:22:49.404,44.336,129,2026-04-07 19:22:47.547,2026-04-07 19:22:47.591,43.789,221,2026-04-07 19:22:56.749,2026-04-07 19:22:56.793
2026-04-07 19:22:00.000,room-list,250,0,11.989,250,0,11.989,56.168,249,2026-04-07 19:22:59.599,2026-04-07 19:22:59.655,52.811,47,2026-04-07 19:22:39.352,2026-04-07 19:22:39.405,49.444,187,2026-04-07 19:22:53.357,2026-04-07 19:22:53.406,56.168,249,2026-04-07 19:22:59.599,2026-04-07 19:22:59.655,52.811,47,2026-04-07 19:22:39.352,2026-04-07 19:22:39.405,49.444,187,2026-04-07 19:22:53.357,2026-04-07 19:22:53.406
2026-04-07 19:22:00.000,room-enter,250,0,14.624,250,0,14.624,72.726,69,2026-04-07 19:22:41.570,2026-04-07 19:22:41.643,63.036,210,2026-04-07 19:22:55.664,2026-04-07 19:22:55.727,60.874,66,2026-04-07 19:22:41.280,2026-04-07 19:22:41.341,72.726,69,2026-04-07 19:22:41.570,2026-04-07 19:22:41.643,63.036,210,2026-04-07 19:22:55.664,2026-04-07 19:22:55.727,60.874,66,2026-04-07 19:22:41.280,2026-04-07 19:22:41.341
2026-04-07 19:22:00.000,echo-response,1092940,0,2.905,1092940,0,2.905,82.578,189,2026-04-07 19:22:54.045,2026-04-07 19:22:54.127,82.446,82,2026-04-07 19:22:54.045,2026-04-07 19:22:54.127,82.350,8,2026-04-07 19:22:54.045,2026-04-07 19:22:54.128,82.578,189,2026-04-07 19:22:54.045,2026-04-07 19:22:54.127,82.446,82,2026-04-07 19:22:54.045,2026-04-07 19:22:54.127,82.350,8,2026-04-07 19:22:54.045,2026-04-07 19:22:54.128
2026-04-07 19:22:00.000,room-change-list,0,0,0.000,0,0,0.000,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-07 19:22:00.000,room-change,0,0,0.000,0,0,0.000,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-07 19:23:00.000,login-response,0,0,0.000,250,0,13.375,,,,,,,,,,,,,55.736,147,2026-04-07 19:22:49.349,2026-04-07 19:22:49.404,44.336,129,2026-04-07 19:22:47.547,2026-04-07 19:22:47.591,43.789,221,2026-04-07 19:22:56.749,2026-04-07 19:22:56.793
2026-04-07 19:23:00.000,room-list,0,0,0.000,250,0,11.989,,,,,,,,,,,,,56.168,249,2026-04-07 19:22:59.599,2026-04-07 19:22:59.655,52.811,47,2026-04-07 19:22:39.352,2026-04-07 19:22:39.405,49.444,187,2026-04-07 19:22:53.357,2026-04-07 19:22:53.406
2026-04-07 19:23:00.000,room-enter,0,0,0.000,250,0,14.624,,,,,,,,,,,,,72.726,69,2026-04-07 19:22:41.570,2026-04-07 19:22:41.643,63.036,210,2026-04-07 19:22:55.664,2026-04-07 19:22:55.727,60.874,66,2026-04-07 19:22:41.280,2026-04-07 19:22:41.341
2026-04-07 19:23:00.000,echo-response,3039668,0,4.899,4132608,0,4.372,59.753,6,2026-04-07 19:23:13.770,2026-04-07 19:23:13.830,48.785,153,2026-04-07 19:23:45.199,2026-04-07 19:23:45.248,48.689,217,2026-04-07 19:23:45.199,2026-04-07 19:23:45.248,82.578,189,2026-04-07 19:22:54.045,2026-04-07 19:22:54.127,82.446,82,2026-04-07 19:22:54.045,2026-04-07 19:22:54.127,82.350,8,2026-04-07 19:22:54.045,2026-04-07 19:22:54.128
