bucket_start_local,stage,minute_count,minute_timeout_count,minute_avg_ms,overall_count,overall_timeout_count,overall_avg_ms,minute_max1_ms,minute_max1_session,minute_max1_sent_at,minute_max1_recv_at,minute_max2_ms,minute_max2_session,minute_max2_sent_at,minute_max2_recv_at,minute_max3_ms,minute_max3_session,minute_max3_sent_at,minute_max3_recv_at,overall_max1_ms,overall_max1_session,overall_max1_sent_at,overall_max1_recv_at,overall_max2_ms,overall_max2_session,overall_max2_sent_at,overall_max2_recv_at,overall_max3_ms,overall_max3_session,overall_max3_sent_at,overall_max3_recv_at
2026-04-07 15:17:00.000,login-response,206,0,5.662,206,0,5.662,32.041,171,2026-04-07 15:17:56.447,2026-04-07 15:17:56.479,13.786,15,2026-04-07 15:17:40.836,2026-04-07 15:17:40.850,11.901,130,2026-04-07 15:17:52.327,2026-04-07 15:17:52.339,32.041,171,2026-04-07 15:17:56.447,2026-04-07 15:17:56.479,13.786,15,2026-04-07 15:17:40.836,2026-04-07 15:17:40.850,11.901,130,2026-04-07 15:17:52.327,2026-04-07 15:17:52.339
2026-04-07 15:17:00.000,room-list,206,0,17.675,206,0,17.675,57.873,186,2026-04-07 15:17:57.943,2026-04-07 15:17:58.000,57.806,162,2026-04-07 15:17:55.544,2026-04-07 15:17:55.602,55.074,200,2026-04-07 15:17:59.362,2026-04-07 15:17:59.417,57.873,186,2026-04-07 15:17:57.943,2026-04-07 15:17:58.000,57.806,162,2026-04-07 15:17:55.544,2026-04-07 15:17:55.602,55.074,200,2026-04-07 15:17:59.362,2026-04-07 15:17:59.417
2026-04-07 15:17:00.000,room-enter,206,0,7.220,206,0,7.220,24.766,193,2026-04-07 15:17:58.673,2026-04-07 15:17:58.698,22.595,174,2026-04-07 15:17:56.776,2026-04-07 15:17:56.799,22.029,203,2026-04-07 15:17:59.687,2026-04-07 15:17:59.709,24.766,193,2026-04-07 15:17:58.673,2026-04-07 15:17:58.698,22.595,174,2026-04-07 15:17:56.776,2026-04-07 15:17:56.799,22.029,203,2026-04-07 15:17:59.687,2026-04-07 15:17:59.709
2026-04-07 15:17:00.000,echo-response,1846461,0,1.125,1846461,0,1.125,135.883,146,2026-04-07 15:17:58.123,2026-04-07 15:17:58.259,135.872,14,2026-04-07 15:17:58.123,2026-04-07 15:17:58.259,135.867,74,2026-04-07 15:17:58.123,2026-04-07 15:17:58.259,135.883,146,2026-04-07 15:17:58.123,2026-04-07 15:17:58.259,135.872,14,2026-04-07 15:17:58.123,2026-04-07 15:17:58.259,135.867,74,2026-04-07 15:17:58.123,2026-04-07 15:17:58.259
2026-04-07 15:17:00.000,room-change-list,0,0,0.000,0,0,0.000,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-07 15:17:00.000,room-change,0,0,0.000,0,0,0.000,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-07 15:18:00.000,login-response,44,0,6.751,250,0,5.854,26.738,219,2026-04-07 15:18:01.237,2026-04-07 15:18:01.264,12.509,215,2026-04-07 15:18:00.827,2026-04-07 15:18:00.839,10.386,207,2026-04-07 15:18:00.079,2026-04-07 15:18:00.089,32.041,171,2026-04-07 15:17:56.447,2026-04-07 15:17:56.479,26.738,219,2026-04-07 15:18:01.237,2026-04-07 15:18:01.264,13.786,15,2026-04-07 15:17:40.836,2026-04-07 15:17:40.850
2026-04-07 15:18:00.000,room-list,44,0,44.718,250,0,22.435,94.179,243,2026-04-07 15:18:03.639,2026-04-07 15:18:03.733,82.743,224,2026-04-07 15:18:01.743,2026-04-07 15:18:01.826,79.656,247,2026-04-07 15:18:04.043,2026-04-07 15:18:04.123,94.179,243,2026-04-07 15:18:03.639,2026-04-07 15:18:03.733,82.743,224,2026-04-07 15:18:01.743,2026-04-07 15:18:01.826,79.656,247,2026-04-07 15:18:04.043,2026-04-07 15:18:04.123
2026-04-07 15:18:00.000,room-enter,44,0,11.125,250,0,7.907,101.240,238,2026-04-07 15:18:03.207,2026-04-07 15:18:03.309,31.889,241,2026-04-07 15:18:03.494,2026-04-07 15:18:03.525,22.906,228,2026-04-07 15:18:02.222,2026-04-07 15:18:02.245,101.240,238,2026-04-07 15:18:03.207,2026-04-07 15:18:03.309,31.889,241,2026-04-07 15:18:03.494,2026-04-07 15:18:03.525,24.766,193,2026-04-07 15:17:58.673,2026-04-07 15:17:58.698
2026-04-07 15:18:00.000,echo-response,5615850,0,2.624,7462311,0,2.253,261.297,200,2026-04-07 15:18:24.500,2026-04-07 15:18:24.761,261.288,245,2026-04-07 15:18:24.500,2026-04-07 15:18:24.761,261.278,17,2026-04-07 15:18:24.500,2026-04-07 15:18:24.761,261.297,200,2026-04-07 15:18:24.500,2026-04-07 15:18:24.761,261.288,245,2026-04-07 15:18:24.500,2026-04-07 15:18:24.761,261.278,17,2026-04-07 15:18:24.500,2026-04-07 15:18:24.761
